# This file contains all populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	FieldID_1	FieldID_2	FieldID_3	FieldID_4	FieldID_5	FieldID_6	FieldID_7	FieldID_8	FieldID_9	FieldID_10	FieldID_11	FieldID_12	FieldID_13	FieldID_14	FieldID_15	FieldID_16	FieldID_17	FieldID_18	FieldID_19	FieldID_20	FieldID_21	FieldID_22	FieldID_23	FieldID_24	FieldID_25	FieldID_26	FieldID_27	FieldID_28	FieldID_29	FieldID_30	FieldID_31	FieldID_32	FieldID_33	FieldID_34	FieldID_35	FieldID_36	FieldID_37	FieldID_38	FieldID_39	FieldID_40	FieldID_41	FieldID_42	FieldID_43	FieldID_44	FieldID_45	FieldID_46	FieldID_47	FieldID_48	FieldID_49	FieldID_50	FieldID_51	FieldID_52	FieldID_53	FieldID_54	FieldID_55	FieldID_56	FieldID_57	FieldID_58	FieldID_59	FieldID_60	FieldID_61
0	1	1	4.801196e+01	9.551358e+06	5	5.268664e-01	0	3	3	0	3	0	2	0	0	1	1	0	0	1	1	0	0	3	0	2	0	0	2	0	1	0	2	0	0	0	0	3	0	0	0	3	0	1	0	1	1	0	3	0	2	0	2	0	2	3	0	0	0	0	1	0	3	0	0	0	3	
0	1	2	-9.185500e+00	1.239211e+07	2	1.000000e+14	0	2	0	0	0	2	3	0	0	3	2	0	0	3	1	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	2	0	0	3	2	0	3	0	2	0	2	0	0	2	1	1	0	0	1	0	3	0	0	1	1	
0	1	3	3.504252e+01	4.880007e+06	2	1.000000e+14	1	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	2	1	2	0	2	2	0	3	0	1	0	2	0	2	2	1	0	0	0	0	0	3	0	0	2	3	
0	1	4	-1.190397e+01	1.144036e+07	1	2.527196e-01	2	2	0	0	1	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	0	0	2	0	2	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	1	0	3	0	3	0	2	1	3	2	0	0	0	0	3	0	0	2	3	
0	1	5	-1.386288e+01	1.366713e+07	1	3.002037e-01	2	3	1	0	0	3	3	0	0	3	1	0	0	2	1	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	3	3	1	0	3	1	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	
0	1	6	-2.316838e-01	1.244371e+07	3	6.163101e-01	2	3	1	0	2	3	0	0	0	2	2	0	0	0	2	3	0	1	0	2	0	0	1	0	3	0	3	0	0	3	0	2	0	0	0	3	3	0	0	3	1	0	3	0	1	0	3	0	1	2	2	0	0	0	1	0	2	0	0	2	2	
0	1	7	-4.677377e+00	1.274332e+07	3	1.077672e-01	3	3	2	0	1	0	3	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	0	1	0	0	0	2	2	2	0	1	2	0	3	0	0	0	1	0	1	1	1	0	0	0	2	0	2	0	0	0	0	
0	1	8	2.738378e+01	4.489911e+06	1	1.000000e+14	2	2	3	0	0	3	0	0	0	3	1	0	0	2	1	2	0	2	0	2	0	0	2	0	1	0	3	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	2	0	3	0	0	0	0	0	3	0	0	3	3	
0	1	9	-4.829289e+00	1.398838e+07	4	1.000000e+14	0	3	1	0	3	3	2	0	0	2	0	0	0	0	3	3	0	3	0	1	0	0	3	0	3	0	0	0	0	2	0	3	0	0	0	3	0	2	0	2	2	0	0	0	3	0	1	0	1	1	3	1	0	0	3	0	1	0	0	2	3	
0	1	10	1.045706e+02	7.697997e+06	7	1.000000e+14	2	0	2	0	1	1	1	0	0	1	1	0	0	2	0	2	0	2	0	3	0	0	3	0	3	0	3	0	0	2	0	1	0	0	0	0	0	2	0	1	1	0	1	0	3	0	0	0	1	3	3	1	0	0	2	0	0	0	0	1	1	
