# This file contains the statistics and performance metric results of the run.
RS#	Run	Gen	Cum.Gen	Popsize	Archive	NFE	Time(sec)
    0	    1	     1	      1	     32	      0	        32	 34.063459
    0	    1	     2	      2	     32	      1	        64	 70.581565
    0	    1	     3	      3	     32	      1	        96	105.641665
    0	    1	     4	      4	     32	      1	       128	140.587199
    0	    1	     5	      5	     32	      1	       160	174.354425
    0	    1	     6	      6	     32	      2	       192	208.970181
    0	    1	     7	      7	     32	      2	       224	243.863817
    0	    1	     8	      8	     32	      3	       256	277.876018
    0	    1	     9	      9	     32	      3	       288	312.847255
    0	    1	    10	     10	     32	      4	       320	346.573300
    0	    2	     1	     11	     32	      4	       352	380.217367
    0	    2	     2	     12	     32	      4	       384	414.795605
    0	    2	     3	     13	     32	      4	       416	449.871492
    0	    2	     4	     14	     32	      5	       448	485.470462
    0	    2	     5	     15	     32	      1	       480	520.475084
    0	    2	     6	     16	     32	      2	       512	556.188530
    0	    2	     7	     17	     32	      3	       544	590.127488
    0	    2	     8	     18	     32	      3	       576	624.293715
    0	    2	     9	     19	     32	      3	       608	659.174740
    0	    2	    10	     20	     32	      1	       640	694.670738
    0	    3	     1	     21	     32	      1	       672	729.423810
    0	    3	     2	     22	     32	      1	       704	764.338465
    0	    3	     3	     23	     32	      1	       736	799.264929
    0	    3	     4	     24	     32	      1	       768	833.221227
    0	    3	     5	     25	     32	      1	       800	867.065105
    0	    3	     6	     26	     32	      1	       832	902.962733
    0	    3	     7	     27	     32	      1	       864	938.370763
    0	    3	     8	     28	     32	      1	       896	973.600972
    0	    3	     9	     29	     32	      1	       928	1008.901742
    0	    3	    10	     30	     32	      1	       960	1043.793027
    0	    4	     1	     31	     32	      1	       992	1079.332526
    0	    4	     2	     32	     32	      1	      1024	1114.484871
    0	    4	     3	     33	     32	      1	      1056	1150.025663
    0	    4	     4	     34	     32	      1	      1088	1185.723907
    0	    4	     5	     35	     32	      1	      1120	1221.077076
    0	    4	     6	     36	     32	      1	      1152	1255.066296
    0	    4	     7	     37	     32	      1	      1184	1289.367455
    0	    4	     8	     38	     32	      1	      1216	1323.006151
    0	    4	     9	     39	     32	      1	      1248	1356.944379
    0	    4	    10	     40	     32	      1	      1280	1391.054526
    0	    5	     1	     41	     32	      1	      1312	1425.032527
    0	    5	     2	     42	     32	      1	      1344	1459.481164
    0	    5	     3	     43	     32	      1	      1376	1493.665779
    0	    5	     4	     44	     32	      1	      1408	1528.347640
    0	    5	     5	     45	     32	      1	      1440	1563.390228
    0	    5	     6	     46	     32	      1	      1472	1598.586161
    0	    5	     7	     47	     32	      1	      1504	1633.474410
    0	    5	     8	     48	     32	      1	      1536	1668.000537
    0	    5	     9	     49	     32	      1	      1568	1702.010091
    0	    5	    10	     50	     32	      1	      1600	1735.801455
    0	    6	     1	     51	     32	      1	      1632	1770.096093
    0	    6	     2	     52	     32	      1	      1664	1804.075982
    0	    6	     3	     53	     32	      1	      1696	1839.085968
    0	    6	     4	     54	     32	      1	      1728	1873.859936
    0	    6	     5	     55	     32	      1	      1760	1908.717616
    0	    6	     6	     56	     32	      1	      1792	1943.945919
    0	    6	     7	     57	     32	      1	      1824	1979.178330
    0	    6	     8	     58	     32	      1	      1856	2013.111127
    0	    6	     9	     59	     32	      1	      1888	2047.123677
    0	    6	    10	     60	     32	      1	      1920	2081.933805
    0	    7	     1	     61	     32	      1	      1952	2116.939192
    0	    7	     2	     62	     32	      1	      1984	2151.190033
    0	    7	     3	     63	     32	      1	      2016	2186.364871
    0	    7	     4	     64	     32	      1	      2048	2220.734424
    0	    7	     5	     65	     32	      1	      2080	2255.855625
    0	    7	     6	     66	     32	      1	      2112	2291.259167
    0	    7	     7	     67	     32	      1	      2144	2326.111917
    0	    7	     8	     68	     32	      1	      2176	2359.983826
    0	    7	     9	     69	     32	      1	      2208	2394.567595
    0	    7	    10	     70	     32	      1	      2240	2429.641785
    0	    8	     1	     71	     32	      1	      2272	2464.125199
    0	    8	     2	     72	     32	      1	      2304	2499.660719
    0	    8	     3	     73	     32	      1	      2336	2534.518875
    0	    8	     4	     74	     32	      1	      2368	2568.462380
    0	    8	     5	     75	     32	      1	      2400	2603.672276
    0	    8	     6	     76	     32	      1	      2432	2638.887983
    0	    8	     7	     77	     32	      1	      2464	2673.978218
    0	    8	     8	     78	     32	      1	      2496	2707.856199
    0	    8	     9	     79	     32	      1	      2528	2743.716079
    0	    8	    10	     80	     32	      1	      2560	2779.433659
    0	    9	     1	     81	     32	      1	      2592	2814.830663
    0	    9	     2	     82	     32	      1	      2624	2849.521444
    0	    9	     3	     83	     32	      1	      2656	2883.027367
    0	    9	     4	     84	     32	      1	      2688	2918.056513
    0	    9	     5	     85	     32	      1	      2720	2953.492517
    0	    9	     6	     86	     32	      1	      2752	
