# This file contains all non-dominated populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	RealVar1	RealVar2	RealVar3	RealVar4	RealVar5	RealVar6	RealVar7
0	5	1	-5.631448e-01	-8.923132e-01	1	2.434884e-01	3.941109e-01	1.235217e-01	4.151376e-01	5.641158e+00	1.037960e+01	1.913343e-04	9.056740e-01	
0	5	2	-8.394645e-01	-8.849196e-02	1	6.754551e-01	2.047344e-01	6.209661e-01	2.877218e-01	5.901485e+00	8.137489e+00	1.668074e-04	1.048802e+00	
0	5	3	-2.531322e-01	-9.164729e-01	1	1.000000e+14	6.509985e-01	3.089289e-01	4.230280e-01	7.748083e+00	8.310067e+00	1.144556e-04	1.250022e+00	
0	10	1	-8.284004e-01	-9.085001e-01	1	1.430357e-01	2.198021e-01	3.346634e-01	2.872568e-01	3.021007e+00	8.097851e+00	1.093433e-04	8.971250e-01	
0	15	1	-8.393522e-01	-9.115968e-01	1	1.577628e-01	2.198021e-01	3.346634e-01	2.596940e-01	3.021831e+00	8.097851e+00	1.093433e-04	8.971287e-01	
0	20	1	-9.025543e-01	-8.465201e-01	1	4.957118e-01	1.198511e-01	2.903939e-01	2.605759e-01	7.706617e+00	4.165692e+00	1.004084e-04	8.761978e-01	
0	20	2	-8.400171e-01	-9.148923e-01	1	1.250107e-01	2.197841e-01	3.346634e-01	2.578529e-01	3.021831e+00	3.865551e+00	1.093570e-04	8.749052e-01	
0	25	1	-8.812354e-01	-9.031742e-01	1	7.514547e-02	1.797453e-01	1.177666e-01	2.235965e-01	3.018507e+00	4.294670e+00	1.006774e-04	8.750510e-01	
0	25	2	-9.029720e-01	-8.675127e-01	1	1.669078e-01	1.355299e-01	1.020651e-01	2.160078e-01	2.946675e+00	4.135122e+00	1.043578e-04	8.542331e-01	
0	30	1	-8.758224e-01	-9.101931e-01	1	3.962394e-02	1.860145e-01	3.916534e-01	2.231641e-01	2.096727e+00	4.075996e+00	1.002574e-04	8.580948e-01	
0	30	2	-9.029720e-01	-8.771616e-01	1	1.212864e-01	1.355299e-01	1.020651e-01	2.160078e-01	3.065485e+00	4.135122e+00	1.002207e-04	8.539266e-01	
0	37	1	-9.028070e-01	-8.791334e-01	1	3.469932e-02	1.355299e-01	1.585424e-01	2.226775e-01	3.005683e+00	4.240191e+00	1.002207e-04	8.539266e-01	
0	37	2	-8.758224e-01	-9.101931e-01	1	3.962394e-02	1.860145e-01	3.916534e-01	2.231641e-01	2.096727e+00	4.075996e+00	1.002574e-04	8.580948e-01	
0	42	1	-9.030012e-01	-8.789766e-01	1	1.979760e-02	1.321006e-01	6.809517e-01	2.235238e-01	3.089195e+00	4.755191e+00	1.000936e-04	8.540091e-01	
0	42	2	-8.766922e-01	-9.101065e-01	1	4.691134e-03	1.865632e-01	1.241119e-01	2.233384e-01	3.046045e+00	4.118750e+00	1.002214e-04	8.539770e-01	
0	47	1	-9.031708e-01	-8.799736e-01	1	6.259583e-02	1.315185e-01	6.814544e-01	2.235255e-01	3.088119e+00	4.472325e+00	1.002968e-04	8.507892e-01	
0	47	2	-8.766922e-01	-9.101065e-01	1	4.691134e-03	1.865632e-01	1.241119e-01	2.233384e-01	3.046045e+00	4.118750e+00	1.002214e-04	8.539770e-01	
0	52	1	-9.027432e-01	-8.815781e-01	1	4.013825e-02	1.329824e-01	6.815840e-01	2.233807e-01	3.087570e+00	3.437170e+00	1.002954e-04	8.506060e-01	
0	52	2	-8.770568e-01	-9.101291e-01	1	4.036413e-02	1.861264e-01	1.158063e-01	2.231609e-01	3.945666e+00	4.767405e+00	1.001911e-04	8.504195e-01	
0	58	1	-8.770568e-01	-9.101291e-01	1	4.036413e-02	1.861264e-01	1.158063e-01	2.231609e-01	3.945666e+00	4.767405e+00	1.001911e-04	8.504195e-01	
0	58	2	-9.027432e-01	-8.815781e-01	1	4.013825e-02	1.329824e-01	6.815840e-01	2.233807e-01	3.087570e+00	3.437170e+00	1.002954e-04	8.506060e-01	
0	63	1	-8.770568e-01	-9.101291e-01	1	4.036413e-02	1.861264e-01	1.158063e-01	2.231609e-01	3.945666e+00	4.767405e+00	1.001911e-04	8.504195e-01	
0	63	2	-9.028878e-01	-8.810344e-01	1	9.039729e-02	1.325474e-01	6.737629e-01	2.233695e-01	3.077232e+00	3.396881e+00	1.002954e-04	8.506901e-01	
0	68	1	-8.770568e-01	-9.101291e-01	1	4.036413e-02	1.861264e-01	1.158063e-01	2.231609e-01	3.945666e+00	4.767405e+00	1.001911e-04	8.504195e-01	
0	68	2	-9.029534e-01	-8.808007e-01	1	4.955919e-02	1.325489e-01	6.318193e-01	2.233609e-01	3.078657e+00	3.800187e+00	1.002891e-04	8.506860e-01	
0	73	1	-9.029534e-01	-8.808007e-01	1	4.955919e-02	1.325489e-01	6.318193e-01	2.233609e-01	3.078657e+00	3.800187e+00	1.002891e-04	8.506860e-01	
0	73	2	-8.766151e-01	-9.102946e-01	1	2.022007e-02	1.830384e-01	6.499985e-01	2.233609e-01	3.087631e+00	4.911207e+00	1.002891e-04	8.506860e-01	
