# This file contains all populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	RealVar1	RealVar2	RealVar3	RealVar4	RealVar5	RealVar6	RealVar7
0	5	1	-8.394645e-01	-8.849196e-02	1	6.754551e-01	2.047344e-01	6.209661e-01	2.877218e-01	5.901485e+00	8.137489e+00	1.668074e-04	1.048802e+00	
0	5	2	-5.721880e-01	-7.996984e-01	1	2.940147e-02	3.877898e-01	3.346634e-01	4.072595e-01	5.206675e+00	1.007111e+01	1.107777e-04	8.986775e-01	
0	5	3	-8.403878e-01	9.780534e+00	1	1.000000e+14	2.035064e-01	5.177482e-01	2.901338e-01	4.860387e+00	4.246198e+00	5.779659e-04	9.256740e-01	
0	5	4	-1.702136e-01	-9.349056e-01	1	1.000000e+14	7.257331e-01	6.221938e-01	4.124409e-01	5.258382e+00	1.744005e+01	3.818158e-04	9.304029e-01	
0	5	5	-5.916647e-01	-7.182200e-01	1	2.325943e-01	3.926765e-01	3.190882e-01	3.685738e-01	7.705282e+00	1.005015e+01	1.117856e-04	1.251673e+00	
0	5	6	-5.631448e-01	-8.923132e-01	1	2.434884e-01	3.941109e-01	1.235217e-01	4.151376e-01	5.641158e+00	1.037960e+01	1.913343e-04	9.056740e-01	
0	5	7	-2.531322e-01	-9.164729e-01	1	2.951434e-01	6.509985e-01	3.089289e-01	4.230280e-01	7.748083e+00	8.310067e+00	1.144556e-04	1.250022e+00	
0	5	8	-2.487906e-01	-9.143016e-01	2	1.000000e+14	6.552004e-01	3.068254e-01	4.230238e-01	7.850541e+00	8.623215e+00	1.117282e-04	1.255968e+00	
0	5	9	-2.879361e-01	-7.891520e-01	2	3.082645e-01	6.503420e-01	2.970503e-01	3.692489e-01	1.901667e+01	1.305282e+01	1.910414e-04	8.766753e-01	
0	5	10	-5.910181e-01	-3.771837e-01	2	3.077703e-01	3.615686e-01	3.210255e-01	4.263418e-01	1.248532e+01	2.884715e+00	1.349186e-04	1.264495e+00	
0	5	11	-8.384214e-01	1.302366e+01	2	6.446383e-01	2.047344e-01	6.209661e-01	2.901338e-01	3.616618e+00	9.681012e+00	6.547146e-04	9.217008e-01	
0	5	12	-8.392954e-01	1.361091e+01	2	1.000000e+14	2.047344e-01	5.177482e-01	2.901338e-01	4.860387e+00	4.246198e+00	6.547146e-04	9.304029e-01	
0	5	13	-8.392954e-01	1.361091e+01	2	7.400304e-04	2.047344e-01	5.177482e-01	2.901338e-01	4.860387e+00	4.246198e+00	6.547146e-04	9.304029e-01	
0	5	14	-6.279744e-01	8.195969e-02	2	6.338210e-01	3.977448e-01	6.251682e-01	2.915137e-01	5.258382e+00	1.000534e+01	3.794416e-04	9.022118e-01	
0	5	15	-6.202797e-01	-2.326952e-02	2	4.709719e-02	3.431097e-01	6.221938e-01	4.075971e-01	5.155925e+00	1.007111e+01	3.806396e-04	8.650303e-01	
0	5	16	-5.641038e-01	-2.991299e-01	3	2.520625e-01	3.902765e-01	6.221938e-01	4.075971e-01	5.448973e+00	1.007111e+01	3.806396e-04	8.650303e-01	
0	5	17	-6.234356e-01	3.528612e+00	3	6.765662e-01	3.406230e-01	6.221938e-01	4.072595e-01	5.148461e+00	1.007111e+01	5.680212e-04	9.244767e-01	
0	5	18	-5.731270e-01	9.069198e-02	3	1.640181e-01	3.877898e-01	6.221938e-01	3.983824e-01	5.155925e+00	1.007052e+01	3.806396e-04	9.244767e-01	
0	5	19	-5.673091e-01	7.628205e-02	3	2.065558e-02	3.877898e-01	6.221938e-01	4.072595e-01	5.155925e+00	1.007111e+01	3.806396e-04	9.244767e-01	
0	5	20	-8.384214e-01	1.355482e+01	3	1.000000e+14	2.047344e-01	6.209661e-01	2.901338e-01	5.910898e+00	1.000010e+01	6.547146e-04	9.304029e-01	
0	5	21	-2.879361e-01	-7.891514e-01	3	3.027782e-01	6.503420e-01	2.970503e-01	3.692489e-01	6.909962e+00	8.421197e+00	1.910414e-04	8.766753e-01	
0	5	22	-2.095811e-01	-9.032471e-01	3	1.000000e+14	7.206648e-01	3.190882e-01	3.685738e-01	7.705282e+00	1.741912e+01	1.116147e-04	1.251673e+00	
0	5	23	-5.683115e-01	2.579729e+00	4	5.905842e-01	3.877898e-01	6.221938e-01	4.057304e-01	1.261609e+01	1.007111e+01	5.680212e-04	9.244767e-01	
0	5	24	-1.032134e-01	-7.998131e-01	4	1.000000e+14	7.206648e-01	1.081143e-01	5.588095e-01	1.933242e+01	1.292910e+01	1.116147e-04	1.250023e+00	
0	5	25	-8.344253e-01	1.869076e+01	4	5.979491e-01	2.047344e-01	6.242695e-01	2.990109e-01	1.867875e+01	1.000068e+01	4.148252e-04	1.242934e+00	
0	5	26	-5.673091e-01	2.571896e+00	4	7.554086e-02	3.877898e-01	6.221938e-01	4.072595e-01	5.441509e+00	1.007111e+01	5.680212e-04	9.244767e-01	
0	5	27	-2.539479e-01	-2.251203e-01	4	3.263121e-01	6.503420e-01	2.966035e-01	4.233285e-01	6.764983e+00	8.421197e+00	1.910414e-04	1.441623e+00	
0	5	28	-8.383934e-01	1.890940e+01	4	1.000000e+14	2.047344e-01	6.242695e-01	2.901338e-01	1.867875e+01	1.000010e+01	4.148252e-04	1.242934e+00	
0	5	29	-5.519621e-01	4.033301e-02	4	7.485838e-02	3.977448e-01	6.221938e-01	4.124409e-01	5.258382e+00	1.007111e+01	3.806396e-04	9.304029e-01	
0	5	30	-5.517107e-01	3.926830e-02	4	2.094153e-01	3.977448e-01	6.364405e-01	4.124409e-01	5.258382e+00	1.222993e+01	3.806396e-04	9.304029e-01	
0	5	31	-7.717805e-01	1.871153e+01	5	1.000000e+14	2.047344e-01	6.355418e-01	4.110610e-01	1.867875e+01	1.222469e+01	4.160233e-04	1.271334e+00	
0	5	32	-9.161007e-02	-7.986959e-01	5	1.000000e+14	7.206648e-01	4.996295e-01	5.646173e-01	7.799453e+00	1.773803e+01	1.116147e-04	1.260405e+00	
0	10	1	-1.362947e-01	-9.476348e-01	1	1.000000e+14	7.568467e-01	6.208366e-01	4.132807e-01	4.860387e+00	4.246198e+00	3.670102e-04	9.256740e-01	
0	10	2	-8.602443e-01	-8.329642e-01	1	3.751958e-01	1.820426e-01	3.219446e-01	2.892478e-01	5.205676e+00	1.030010e+01	1.263755e-04	9.053532e-01	
0	10	3	-6.338085e-01	-9.230471e-01	1	2.661034e-01	4.005233e-01	1.174472e-01	2.891788e-01	1.910601e+01	1.009068e+01	1.997829e-04	8.753711e-01	
0	10	4	-8.800395e-01	-3.739927e-01	1	1.000000e+14	1.828424e-01	1.174472e-01	2.169844e-01	1.873367e+01	4.005749e+00	1.989589e-04	8.753711e-01	
0	10	5	-1.597085e-01	-9.452135e-01	1	3.309623e-03	7.353466e-01	6.280867e-01	4.123954e-01	5.207626e+00	1.030010e+01	3.805238e-04	9.053532e-01	
0	10	6	-1.614922e-01	-9.450735e-01	1	9.265794e-03	7.359351e-01	6.275860e-01	4.084219e-01	5.260275e+00	1.032526e+01	3.843932e-04	9.053532e-01	
0	10	7	-8.488050e-01	-8.982754e-01	1	3.117098e-02	1.974867e-01	2.481425e-01	2.877218e-01	6.023798e+00	8.164601e+00	1.094169e-04	8.935318e-01	
0	10	8	-1.737747e-01	-9.421322e-01	1	7.510731e-02	7.202767e-01	6.736866e-01	4.149497e-01	5.641158e+00	1.765869e+01	3.589669e-04	9.317803e-01	
0	10	9	-2.811356e-01	-9.420689e-01	1	8.056616e-02	6.574548e-01	2.985962e-01	3.672496e-01	7.702222e+00	8.623215e+00	1.386018e-04	1.255968e+00	
0	10	10	-2.834957e-01	-9.343265e-01	1	2.536726e-01	6.552004e-01	3.068254e-01	3.672496e-01	7.702222e+00	8.623215e+00	1.116146e-04	1.255968e+00	
0	10	11	-1.702136e-01	-9.426855e-01	1	1.082099e-02	7.257331e-01	6.221938e-01	4.124409e-01	5.152970e+00	1.030010e+01	3.805238e-04	8.642461e-01	
0	10	12	-1.597085e-01	-9.452135e-01	1	1.586244e-02	7.353466e-01	6.280867e-01	4.123946e-01	5.205676e+00	1.030010e+01	3.805238e-04	9.053532e-01	
0	10	13	-6.502417e-01	-9.118974e-01	1	1.434985e-01	3.877214e-01	1.235217e-01	2.862089e-01	3.199954e+00	1.037960e+01	1.913343e-04	8.994019e-01	
0	10	14	-8.533992e-01	-8.920194e-01	1	6.461708e-02	1.974867e-01	2.510980e-01	2.759268e-01	5.901485e+00	8.137489e+00	1.088869e-04	9.106137e-01	
0	10	15	-8.284004e-01	-9.085001e-01	1	1.453621e-01	2.198021e-01	3.346634e-01	2.872568e-01	3.021007e+00	8.097851e+00	1.093433e-04	8.971250e-01	
0	10	16	-8.610910e-01	-4.674958e-01	1	4.133582e-01	1.828424e-01	1.174472e-01	2.891729e-01	1.873367e+01	4.005749e+00	1.989589e-04	8.753711e-01	
0	10	17	-8.721278e-01	-3.689168e-01	2	1.000000e+14	1.700406e-01	1.102894e-01	2.850518e-01	2.752580e+00	4.294670e+00	1.905103e-04	8.994019e-01	
0	10	18	-1.922761e-01	-9.382467e-01	2	2.891407e-02	7.054492e-01	6.280867e-01	4.124358e-01	5.260275e+00	1.030010e+01	3.748055e-04	9.053532e-01	
0	10	19	-1.596842e-01	-9.452092e-01	2	2.891462e-02	7.353466e-01	6.280867e-01	4.124350e-01	5.258324e+00	1.030010e+01	3.805238e-04	9.053532e-01	
0	10	20	-8.594004e-01	-4.662745e-01	2	4.744235e-01	1.853515e-01	3.096935e-01	2.849552e-01	4.000669e+00	4.326819e+00	1.860422e-04	9.067161e-01	
0	10	21	-6.341605e-01	-9.099840e-01	2	3.251701e-01	3.941109e-01	1.235217e-01	3.015702e-01	5.951931e+00	1.003497e+01	1.851460e-04	9.253790e-01	
0	10	22	-1.596836e-01	-9.452093e-01	2	1.000000e+14	7.353466e-01	6.280867e-01	4.124358e-01	5.260275e+00	1.030010e+01	3.805238e-04	9.053532e-01	
0	10	23	-7.012299e-01	-8.985575e-01	2	1.620222e-01	3.653098e-01	2.488048e-01	2.306809e-01	5.914505e+00	9.403681e+00	1.108620e-04	8.991298e-01	
0	10	24	-1.922761e-01	-9.382467e-01	2	6.645337e-02	7.054492e-01	6.280867e-01	4.124358e-01	5.260275e+00	1.030010e+01	3.748055e-04	9.053532e-01	
0	10	25	-2.817242e-01	-9.340076e-01	2	3.346397e-01	6.571711e-01	2.973415e-01	3.668716e-01	3.472537e+00	8.623215e+00	1.116146e-04	1.255968e+00	
0	10	26	-8.487998e-01	-8.968603e-01	2	4.860607e-01	1.974867e-01	2.488048e-01	2.877218e-01	5.901485e+00	8.137489e+00	1.094276e-04	8.971444e-01	
0	10	27	-1.536719e-01	-9.391492e-01	3	1.000000e+14	7.331517e-01	7.866792e-01	4.205719e-01	5.154878e+00	1.061023e+01	3.805238e-04	9.329418e-01	
0	10	28	-8.677836e-01	1.276847e+01	3	1.000000e+14	1.742037e-01	5.177482e-01	2.816691e-01	4.716537e+00	3.667329e+00	5.940928e-04	9.321596e-01	
0	10	29	-8.653625e-01	-1.896268e-01	3	4.801848e-01	1.717807e-01	1.096569e-01	2.996026e-01	1.873367e+01	1.000068e+01	2.223358e-04	8.747794e-01	
0	10	30	-5.609000e-01	-8.959136e-01	3	3.966202e-01	3.973130e-01	1.280122e-01	4.126287e-01	5.258382e+00	9.775546e+00	1.881995e-04	9.042966e-01	
0	10	31	-2.760594e-01	-9.254727e-01	3	2.005914e-01	6.552004e-01	3.045322e-01	3.790446e-01	7.702222e+00	8.623215e+00	1.121553e-04	1.242624e+00	
0	10	32	-8.409727e-01	-8.957402e-01	3	1.960987e-01	2.047344e-01	3.176010e-01	2.901338e-01	4.914840e+00	4.152004e+00	1.030022e-04	9.304029e-01	
0	15	1	-6.412279e-01	-9.314382e-01	1	2.720257e-01	3.954899e-01	1.236229e-01	2.862067e-01	3.281014e+00	3.887910e+00	1.840883e-04	8.749915e-01	
0	15	2	-8.958214e-01	-7.159125e-01	1	1.000000e+14	1.416235e-01	1.103776e-01	2.600398e-01	5.518881e+00	4.006386e+00	1.392356e-04	8.768954e-01	
0	15	3	-8.832467e-01	-8.925061e-01	1	2.547381e-02	1.774732e-01	1.169109e-01	2.190467e-01	3.199954e+00	1.037960e+01	1.068531e-04	8.746269e-01	
0	15	4	-8.806419e-01	-8.934399e-01	1	3.753457e-02	1.819450e-01	1.089455e-01	2.171330e-01	5.902598e+00	3.593380e+00	1.094064e-04	8.708351e-01	
0	15	5	-6.571900e-01	-9.212918e-01	1	4.138370e-02	4.042156e-01	1.235217e-01	2.355130e-01	3.938825e+00	3.933930e+00	1.913343e-04	8.737205e-01	
0	15	6	-6.659195e-01	-9.175828e-01	1	1.496945e-02	3.959681e-01	1.235217e-01	2.367759e-01	3.199954e+00	3.920554e+00	1.913343e-04	8.745043e-01	
0	15	7	-2.879236e-01	-9.375367e-01	1	2.860979e-01	6.601605e-01	3.068254e-01	3.520461e-01	7.702222e+00	8.623215e+00	1.116146e-04	1.255968e+00	
0	15	8	-6.446857e-01	-9.296646e-01	1	3.279574e-02	3.905297e-01	1.515200e-01	2.895975e-01	1.872731e+01	4.035508e+00	1.851460e-04	8.751422e-01	
