# This file contains the final population.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	RealVar1	RealVar2	RealVar3	RealVar4	RealVar5	RealVar6	RealVar7
0	100	1	-8.870099e-01	-9.054497e-01	1	3.928570e-01	1.672275e-01	6.207451e-01	2.234555e-01	3.040650e+00	4.543582e+00	1.000308e-04	8.503167e-01	
0	100	2	-9.035432e-01	-8.795240e-01	1	4.295747e-02	1.305572e-01	6.172137e-01	2.233302e-01	3.262201e+00	3.766466e+00	1.000095e-04	8.500728e-01	
0	100	3	-9.045818e-01	-8.750226e-01	1	8.958321e-02	1.265415e-01	6.171029e-01	2.224328e-01	3.254546e+00	5.031246e+00	1.000087e-04	8.500726e-01	
0	100	4	-8.743249e-01	-9.108542e-01	1	1.000000e+14	1.860567e-01	6.170857e-01	2.252268e-01	3.262252e+00	4.571134e+00	1.000091e-04	8.500728e-01	
0	100	5	-9.032837e-01	-8.805073e-01	1	1.966160e-02	1.316205e-01	6.170921e-01	2.224983e-01	3.262201e+00	4.571134e+00	1.000099e-04	8.500274e-01	
0	100	6	-8.798548e-01	-9.091913e-01	1	2.015772e-01	1.797527e-01	6.234319e-01	2.173813e-01	3.030620e+00	3.795426e+00	1.000308e-04	8.506650e-01	
0	100	7	-9.048275e-01	-8.722219e-01	1	1.000000e+14	1.256770e-01	6.171133e-01	2.165450e-01	3.261076e+00	3.407993e+00	1.000093e-04	8.506685e-01	
0	100	8	-8.747671e-01	-9.108297e-01	1	1.078916e-02	1.860404e-01	6.172808e-01	2.227223e-01	3.044437e+00	4.522859e+00	1.000308e-04	8.520854e-01	
0	100	9	-9.037140e-01	-8.777332e-01	1	7.528461e-02	1.305351e-01	6.207451e-01	2.166835e-01	3.026999e+00	3.795426e+00	1.000088e-04	8.506685e-01	
0	100	10	-8.781707e-01	-9.098295e-01	1	3.874453e-02	1.810100e-01	6.171421e-01	2.233825e-01	3.040650e+00	3.795426e+00	1.000308e-04	8.500943e-01	
0	100	11	-8.749195e-01	-9.107736e-01	1	6.243945e-03	1.871077e-01	6.207451e-01	2.166632e-01	3.040650e+00	4.522859e+00	1.000308e-04	8.503065e-01	
0	100	12	-8.750437e-01	-9.106976e-01	1	6.263544e-02	1.851058e-01	6.207451e-01	2.248920e-01	3.040650e+00	3.803924e+00	1.000308e-04	8.503167e-01	
0	100	13	-8.949706e-01	-8.979818e-01	1	3.098035e-01	1.528801e-01	6.171177e-01	2.224414e-01	3.040650e+00	3.795426e+00	1.000308e-04	8.500791e-01	
0	100	14	-9.032411e-01	-8.806605e-01	1	2.797763e-01	1.316205e-01	6.172137e-01	2.234566e-01	3.262201e+00	4.514622e+00	1.000095e-04	8.500728e-01	
0	100	15	-8.780134e-01	-9.098526e-01	1	6.249343e-02	1.810100e-01	6.207451e-01	2.242491e-01	2.590631e+00	3.795426e+00	1.000308e-04	8.503167e-01	
0	100	16	-8.960637e-01	-8.929798e-01	1	3.597528e-01	1.504882e-01	6.207186e-01	2.229066e-01	3.010635e+00	1.964399e+00	1.003879e-04	8.577229e-01	
0	100	17	-8.750437e-01	-9.105406e-01	2	7.109812e-02	1.851058e-01	6.207451e-01	2.248920e-01	3.010635e+00	3.803924e+00	1.000308e-04	8.577229e-01	
0	100	18	-8.781621e-01	-9.098265e-01	2	4.597244e-01	1.810100e-01	6.207451e-01	2.233291e-01	3.040650e+00	3.795426e+00	1.000308e-04	8.503167e-01	
0	100	19	-8.781621e-01	-9.098265e-01	2	4.310936e-01	1.810100e-01	6.207451e-01	2.233291e-01	3.040650e+00	3.795426e+00	1.000308e-04	8.503167e-01	
0	100	20	-8.747497e-01	-9.108264e-01	2	1.000000e+14	1.860404e-01	6.207767e-01	2.227223e-01	3.040650e+00	4.522859e+00	1.000308e-04	8.503065e-01	
